Exact age (years),1841,1900,1925,1950,1980,2000,2020
75,15329.73,14361.06,27692.89,37228.81,45368.10,61010.60,70011.77
76,13697.55,12827.47,25005.01,34048.10,41950.05,57913.72,67620.27
77,12108.06,11358.61,22335.47,30876.01,38515.05,54707.67,65045.56
78,10586.66,9961.54,19721.21,27743.14,35032.84,51356.62,62302.74
79,9155.73,8640.52,17237.76,24680.65,31609.39,47846.71,59326.86
80,7830.91,7404.41,14908.44,21717.91,28236.94,44308.14,56141.12
81,6711.95,6266.98,12763.47,18898.88,24972.99,40690.24,52735.00
82,5669.91,5226.94,10806.29,16236.43,21956.65,37370.89,49231.66
83,4703.90,4289.80,9019.87,13739.28,19079.18,33768.54,45530.14
84,3817.42,3460.13,7367.72,11415.30,16232.60,30092.83,41762.50
85,3017.34,2738.80,5884.58,9296.62,13774.51,26477.64,37880.39
86,2252.80,2118.30,4611.77,7419.34,11577.83,23017.30,33937.61
87,1644.86,1607.74,3554.17,5804.02,9470.01,19725.38,29959.56
88,1172.79,1195.99,2685.48,4462.36,7589.79,16698.52,25967.61
89,815.35,870.93,1995.22,3368.67,5987.81,13918.81,22151.51
90,551.87,620.04,1458.84,2475.76,4792.52,11428.45,18553.69
91,363.08,430.98,1049.16,1771.24,3724.92,9222.94,15317.29
92,231.81,292.08,739.08,1238.21,2841.25,7344.54,12332.07
93,143.38,192.72,500.12,842.33,2138.51,5679.18,9720.73
94,85.77,123.62,328.37,551.32,1572.14,4314.03,7374.63
95,49.54,76.97,215.27,341.58,1104.80,3190.81,5482.34
96,27.57,46.46,140.67,204.90,777.83,2290.44,3904.29
97,14.76,27.13,90.36,123.52,529.96,1599.28,2733.45
98,7.59,15.31,55.29,73.71,368.70,1069.92,1848.90
99,3.74,8.33,33.16,42.34,233.55,702.91,1208.09
100,1.76,4.37,19.48,24.39,151.94,465.16,742.90
101,0.79,2.20,10.63,13.62,91.96,282.73,440.55
102,0.34,1.07,5.99,7.30,53.09,180.12,255.98
103,0.14,0.49,2.99,3.65,32.71,90.96,144.19
104,0.05,0.22,1.50,1.83,23.73,60.19,82.55
105,0.02,0.09,0.75,0.91,13.27,33.54,41.54
106,0.01,0.04,0.37,0.46,9.67,14.82,24.81
107,0.00,0.01,0.19,0.23,7.00,7.56,13.61
108,0.00,0.01,0.09,0.11,7.00,4.81,8.87
109,0.00,0.00,0.05,0.06,7.00,1.46,3.94
110,0.00,0.00,0.02,0.03,7.00,0.49,3.94
