Exact age (years),1841,1900,1925,1950,1980,2000,2020,
73,21441.91,23536.87,42117.56,58163.88,70421.06,78309.4,82850.36,
74,19782.18,21594.29,39488.16,55221.4,68046.91,76357.16,81388.43,
75,18099.41,19679.85,36753.47,52101.61,65465.29,74135.03,79802.14,
76,16391.69,17839.47,33947.76,48796.61,62743.54,71785.88,78003.45,
77,14699.67,16039.35,31085.58,45353.78,59828.02,69252.09,75998.08,
78,13043.55,14288.69,28194.37,41804.71,56709.88,66533.95,73825.03,
79,11452.16,12597.53,25334.89,38199.33,53445.32,63702.09,71447.32,
80,9942.1,10979.58,22535.3,34574.28,50066.47,60672.72,68793.22,
81,8509.42,9458.04,19795.68,30947.73,46486.85,57387.56,65911.81,
82,7195.16,8033.94,17214.27,27436.99,42887.04,54266.94,62792.29,
83,6009.3,6719.85,14795.94,24049.05,39124.47,50719.56,59465.24,
84,4957.94,5534.48,12521.17,20796,35303.05,46895.91,55971.06,
85,4040.64,4483.09,10435,17741.65,31497.52,42970.06,52120.12,
86,3290.84,3555.56,8555.27,14890.18,27678.08,38937.55,48113.15,
87,2642.15,2773.54,6867.89,12259.66,23947.09,34943.79,43889.22,
88,2089.38,2125.73,5406.03,9951.49,20472.03,30986.96,39470.91,
89,1625.88,1599.04,4190.45,7961.32,17274.22,27073.61,35039.58,
90,1243.79,1179.23,3190.77,6241.47,14295.16,23335.96,30533.84,
91,934.47,851.56,2389.73,4795.91,11754.27,19769.62,26177.27,
92,688.79,601.43,1770.41,3614.01,9426.9,16410.95,21947.29,
93,497.55,414.92,1281.42,2664.68,7419.89,13370.09,17986.13,
94,351.83,279.25,897.8,1918.92,5763.75,10636.33,14360.31,
95,243.26,183.1,609.93,1356.25,4404.21,8281.73,11250.96,
96,164.27,116.81,400.58,941.2,3253.78,6225.95,8559.17,
97,108.2,72.4,256.1,626.72,2365.84,4569.78,6289.63,
98,69.43,43.53,160.88,403.62,1709,3275.55,4484.83,
99,43.35,25.36,97.48,258.67,1175.65,2292.6,3049.51,
100,26.3,14.29,54.38,160.35,832.03,1570.08,2019.31,
101,15.48,7.78,28.48,92.73,518.27,1042.44,1298.62,
102,8.83,4.08,15.75,51.74,317.63,657.75,830.59,
103,4.88,2.06,10.03,29.36,179.42,410.16,490.74,
104,2.6,1,5.68,16.36,114.63,234.09,286.8,
105,1.34,0.47,2.07,8.18,60.8,135.37,163.48,
106,0.66,0.21,0.3,3.92,36.43,71.87,95.71,
107,0.32,0.09,0.15,1.96,20.97,37.65,51.9,
108,0.15,0.04,0.07,0.98,8.15,18.14,25.4,
109,0.06,0.01,0.04,0.49,3.62,7.26,10.61,
110,0.03,0.01,0.02,0.24,1.33,0.7,3.75,
